review_id,user_id,hotel_id,review_date,score_overall,score_cleanliness,score_comfort,score_facilities,score_location,score_staff,score_value_for_money,user_gender,country_x,age_group,traveller_type,city,country_y,cleanliness_base,comfort_base,facilities_base,location_base,staff_base,value_for_money_base
80,1522,25,2022-05-12,9.2,9.9,9.4,9.0,8.8,8.7,9.3,Male,China,18-24,Family,Wellington,New Zealand,9.3,9.2,9.1,9.0,9.1,8.8
81,836,1,2024-07-25,8.7,8.1,8.8,9.0,9.6,9.2,6.9,Male,United States,45-54,Business,New York,United States,9.1,8.8,8.9,9.5,8.6,8.0
82,1883,4,2023-04-09,9.0,9.3,9.0,8.9,9.1,9.3,8.6,Male,Russia,35-44,Couple,Tokyo,Japan,9.6,9.0,9.3,8.5,9.5,8.2
83,1940,20,2022-04-15,9.2,9.4,9.3,8.6,9.7,9.0,8.7,Male,France,45-54,Couple,Bangkok,Thailand,9.0,9.2,9.1,9.4,9.1,8.6
84,1995,4,2024-04-26,8.9,8.8,9.1,9.5,8.8,9.2,7.5,Female,Germany,45-54,Business,Tokyo,Japan,9.6,9.0,9.3,8.5,9.5,8.2
85,175,4,2024-08-03,9.1,9.7,9.4,8.9,8.9,9.0,8.2,Female,Russia,55+,Couple,Tokyo,Japan,9.6,9.0,9.3,8.5,9.5,8.2
86,693,4,2020-09-08,9.2,9.4,9.0,9.9,8.5,9.6,8.7,Male,Japan,45-54,Family,Tokyo,Japan,9.6,9.0,9.3,8.5,9.5,8.2
87,1390,3,2024-06-22,8.9,8.4,9.5,8.6,9.5,9.6,7.3,Male,Spain,35-44,Business,Paris,France,8.8,9.4,8.7,9.6,9.3,8.1
88,1388,25,2022-01-30,8.9,8.9,8.9,8.6,9.0,8.9,8.8,Female,Singapore,35-44,Solo,Wellington,New Zealand,9.3,9.2,9.1,9.0,9.1,8.8
89,486,1,2025-09-10,8.7,8.5,8.4,8.8,10.0,8.5,7.7,Male,United States,18-24,Business,New York,United States,9.1,8.8,8.9,9.5,8.6,8.0
90,326,12,2021-12-25,8.9,8.9,9.3,8.8,8.4,8.8,8.9,Male,France,45-54,Family,Mexico City,Mexico,8.7,8.9,8.5,9.0,8.7,8.5
91,1178,16,2025-09-29,9.0,9.6,9.2,8.4,9.2,9.1,8.5,Female,France,35-44,Couple,Seoul,South Korea,9.3,9.4,9.1,8.9,9.3,8.5
92,398,1,2025-07-21,9.1,9.5,9.2,9.6,8.8,8.6,8.5,Male,Canada,55+,Family,New York,United States,9.1,8.8,8.9,9.5,8.6,8.0
93,1685,12,2022-06-12,8.8,8.3,9.1,8.7,9.1,9.0,8.1,Other,Argentina,35-44,Business,Mexico City,Mexico,8.7,8.9,8.5,9.0,8.7,8.5
94,1863,1,2021-02-23,9.0,9.8,9.3,8.9,8.6,9.1,8.4,Female,United States,35-44,Family,New York,United States,9.1,8.8,8.9,9.5,8.6,8.0
95,1564,18,2020-10-12,8.8,8.7,8.8,8.7,9.0,8.6,9.0,Female,China,25-34,Solo,Cairo,Egypt,8.8,8.7,8.6,9.1,8.7,8.4
96,665,16,2025-12-13,9.1,9.7,9.6,8.7,8.6,9.2,8.3,Female,Italy,35-44,Couple,Seoul,South Korea,9.3,9.4,9.1,8.9,9.3,8.5
97,1795,10,2023-07-30,8.8,8.3,9.1,9.1,9.4,8.9,7.7,Female,India,35-44,Business,Toronto,Canada,9.4,9.3,9.2,8.8,9.2,8.8
98,1560,2,2020-03-23,8.7,8.9,8.7,8.7,9.5,9.1,6.9,Female,Mexico,25-34,Business,London,United Kingdom,9.0,9.2,8.8,9.4,9.0,7.9
99,1339,13,2022-09-16,8.8,8.8,9.4,8.3,9.0,8.7,8.5,Male,United Arab Emirates,35-44,Couple,Mumbai,India,8.9,8.8,8.7,9.2,8.8,8.6
100,1022,14,2021-03-01,9.2,9.1,8.9,9.6,9.7,8.6,9.1,Male,United States,35-44,Family,Rome,Italy,9.2,9.1,8.9,9.8,9.0,8.7
101,423,3,2025-04-22,8.9,9.0,9.6,7.9,9.4,8.6,8.5,Female,Australia,35-44,Couple,Paris,France,8.8,9.4,8.7,9.6,9.3,8.1
102,1238,13,2024-04-26,9.0,9.4,8.5,8.8,9.2,9.4,8.9,Male,India,25-34,Family,Mumbai,India,8.9,8.8,8.7,9.2,8.8,8.6
103,83,1,2020-09-29,8.7,8.7,8.9,8.3,8.9,8.9,8.7,Male,United States,25-34,Solo,New York,United States,9.1,8.8,8.9,9.5,8.6,8.0
104,1755,3,2025-12-14,8.9,9.1,9.1,8.1,9.3,9.1,8.4,Male,France,45-54,Couple,Paris,France,8.8,9.4,8.7,9.6,9.3,8.1
105,461,4,2023-04-11,8.9,9.5,8.9,8.6,9.0,9.1,7.9,Male,Germany,45-54,Couple,Tokyo,Japan,9.6,9.0,9.3,8.5,9.5,8.2
106,578,5,2022-06-17,9.0,9.4,9.6,8.9,9.3,8.6,8.2,Female,China,35-44,Couple,Dubai,United Arab Emirates,9.3,9.5,9.6,8.9,9.4,8.5
107,1331,1,2024-04-17,9.1,9.0,9.3,9.1,9.3,9.2,8.7,Female,Argentina,25-34,Family,New York,United States,9.1,8.8,8.9,9.5,8.6,8.0
108,769,25,2025-08-17,8.9,8.4,9.3,8.9,9.0,9.3,8.0,Female,South Korea,45-54,Business,Wellington,New Zealand,9.3,9.2,9.1,9.0,9.1,8.8
109,497,6,2025-02-12,8.9,9.0,9.5,8.9,9.1,8.9,8.1,Female,France,25-34,Couple,Singapore,Singapore,9.2,9.1,9.4,9.7,9.1,8.3
110,415,15,2023-05-08,9.2,8.9,9.4,9.3,9.5,9.1,9.0,Male,Thailand,55+,Family,Cape Town,South Africa,9.0,9.2,8.8,9.5,9.2,8.4
111,1131,23,2025-08-23,8.7,8.2,8.6,8.5,8.8,9.0,9.2,Male,Spain,18-24,Solo,Buenos Aires,Argentina,8.9,8.8,8.7,9.0,8.8,8.7
112,1220,23,2025-01-07,9.0,9.7,8.6,9.3,8.3,9.2,8.6,Other,Egypt,25-34,Family,Buenos Aires,Argentina,8.9,8.8,8.7,9.0,8.8,8.7
113,897,16,2020-07-11,9.0,9.0,9.2,9.1,8.9,9.3,8.2,Male,Canada,45-54,Business,Seoul,South Korea,9.3,9.4,9.1,8.9,9.3,8.5
114,1840,2,2022-04-14,8.9,8.9,9.5,8.7,8.6,9.5,8.4,Female,Argentina,25-34,Family,London,United Kingdom,9.0,9.2,8.8,9.4,9.0,7.9
115,984,2,2020-07-28,9.1,8.9,9.2,9.6,9.2,9.1,8.4,Female,Russia,25-34,Family,London,United Kingdom,9.0,9.2,8.8,9.4,9.0,7.9
116,1746,13,2020-06-04,8.7,8.0,8.6,8.5,9.2,9.2,8.2,Male,Thailand,25-34,Business,Mumbai,India,8.9,8.8,8.7,9.2,8.8,8.6
117,335,17,2024-01-09,8.9,9.0,8.8,9.1,9.1,8.8,8.7,Other,Japan,35-44,Family,Moscow,Russia,9.1,9.3,9.0,9.0,9.1,8.6
118,1021,3,2023-04-19,8.8,9.1,9.6,7.7,9.6,8.7,7.6,Male,United Arab Emirates,45-54,Couple,Paris,France,8.8,9.4,8.7,9.6,9.3,8.1
119,1791,3,2024-09-30,8.9,7.9,8.8,9.2,9.6,9.5,7.4,Male,United Kingdom,25-34,Business,Paris,France,8.8,9.4,8.7,9.6,9.3,8.1
120,1021,6,2021-07-04,9.1,9.4,9.5,8.7,9.4,8.9,8.6,Male,United Arab Emirates,45-54,Couple,Singapore,Singapore,9.2,9.1,9.4,9.7,9.1,8.3
121,501,22,2021-07-14,9.1,8.9,9.0,9.2,10.0,9.0,8.0,Male,Japan,25-34,Business,Amsterdam,Netherlands,9.4,9.1,9.0,9.6,9.2,8.9
122,1181,13,2025-06-25,8.9,9.4,8.7,8.4,9.4,8.3,8.9,Male,United States,35-44,Couple,Mumbai,India,8.9,8.8,8.7,9.2,8.8,8.6
123,1781,17,2020-09-19,9.0,9.1,8.6,8.6,9.1,9.4,9.1,Male,France,35-44,Solo,Moscow,Russia,9.1,9.3,9.0,9.0,9.1,8.6
124,536,14,2022-06-04,8.8,8.3,8.3,8.8,10.0,8.9,8.1,Female,Spain,35-44,Business,Rome,Italy,9.2,9.1,8.9,9.8,9.0,8.7
125,392,22,2020-07-11,9.2,10.0,8.8,9.3,8.8,8.9,9.2,Male,Brazil,35-44,Family,Amsterdam,Netherlands,9.4,9.1,9.0,9.6,9.2,8.9
126,1312,8,2023-11-19,8.6,9.0,8.8,8.1,9.1,8.3,8.0,Male,Brazil,35-44,Couple,Rio de Janeiro,Brazil,9.0,8.7,8.6,9.5,8.8,8.6
127,4,24,2020-08-27,8.9,8.9,9.0,9.4,8.5,8.8,8.6,Male,India,35-44,Family,Lagos,Nigeria,8.7,8.6,8.5,8.9,8.6,8.4
128,1202,21,2025-06-15,8.7,8.9,9.1,8.4,9.0,8.5,8.3,Male,South Korea,55+,Couple,Istanbul,Turkey,9.1,9.0,8.8,9.3,8.9,8.5
129,744,16,2022-04-01,8.9,9.9,9.4,8.6,8.7,8.5,7.9,Female,Russia,25-34,Couple,Seoul,South Korea,9.3,9.4,9.1,8.9,9.3,8.5
130,1266,21,2022-01-10,9.0,8.1,9.1,9.0,9.9,9.3,7.6,Female,United States,25-34,Business,Istanbul,Turkey,9.1,9.0,8.8,9.3,8.9,8.5
131,1041,2,2023-05-12,9.1,9.4,9.5,9.2,8.5,9.4,8.2,Female,China,18-24,Family,London,United Kingdom,9.0,9.2,8.8,9.4,9.0,7.9
132,575,19,2020-07-29,9.2,8.9,8.6,8.8,9.4,9.8,9.6,Male,United States,35-44,Solo,Barcelona,Spain,9.2,9.1,8.9,9.7,9.0,8.8
133,161,17,2021-10-15,9.1,9.5,9.0,9.6,8.7,9.2,8.6,Female,United States,25-34,Family,Moscow,Russia,9.1,9.3,9.0,9.0,9.1,8.6
134,521,24,2023-04-12,8.8,9.3,8.9,7.9,9.2,8.8,8.2,Other,France,35-44,Couple,Lagos,Nigeria,8.7,8.6,8.5,8.9,8.6,8.4
135,1390,10,2020-04-14,8.9,9.0,9.1,8.9,9.1,9.5,7.5,Male,Spain,35-44,Business,Toronto,Canada,9.4,9.3,9.2,8.8,9.2,8.8
136,670,22,2025-09-23,9.3,9.6,9.4,9.8,8.9,9.1,8.8,Other,Spain,25-34,Family,Amsterdam,Netherlands,9.4,9.1,9.0,9.6,9.2,8.9
137,1535,23,2025-09-12,8.9,9.5,9.3,8.8,8.5,8.8,8.6,Female,United Kingdom,35-44,Family,Buenos Aires,Argentina,8.9,8.8,8.7,9.0,8.8,8.7
138,110,10,2022-02-21,9.1,8.5,9.2,9.3,9.6,9.3,8.4,Male,Canada,25-34,Business,Toronto,Canada,9.4,9.3,9.2,8.8,9.2,8.8
139,1943,17,2022-04-07,9.1,8.6,9.0,8.8,9.2,9.6,9.2,Male,France,35-44,Solo,Moscow,Russia,9.1,9.3,9.0,9.0,9.1,8.6
140,1698,22,2025-09-23,9.3,9.8,9.4,9.0,8.9,9.4,9.1,Male,United Arab Emirates,35-44,Family,Amsterdam,Netherlands,9.4,9.1,9.0,9.6,9.2,8.9
141,1163,2,2025-11-13,8.9,9.6,9.5,8.4,9.4,8.2,7.6,Male,South Korea,45-54,Couple,London,United Kingdom,9.0,9.2,8.8,9.4,9.0,7.9
142,231,20,2020-09-25,9.0,9.6,9.6,8.6,9.1,8.4,8.6,Other,China,55+,Couple,Bangkok,Thailand,9.0,9.2,9.1,9.4,9.1,8.6
143,1564,21,2021-10-16,8.9,9.1,8.4,9.0,9.0,9.2,8.6,Female,China,25-34,Solo,Istanbul,Turkey,9.1,9.0,8.8,9.3,8.9,8.5
144,193,5,2024-06-15,9.3,9.3,9.7,9.7,8.8,9.5,8.9,Female,France,25-34,Family,Dubai,United Arab Emirates,9.3,9.5,9.6,8.9,9.4,8.5
145,145,1,2021-07-02,8.9,9.3,8.4,9.4,9.0,8.8,8.2,Female,Germany,35-44,Family,New York,United States,9.1,8.8,8.9,9.5,8.6,8.0
146,1307,4,2022-04-06,9.1,9.3,9.8,8.6,9.0,9.4,8.5,Female,China,25-34,Couple,Tokyo,Japan,9.6,9.0,9.3,8.5,9.5,8.2
147,50,7,2025-03-04,9.0,8.9,9.2,8.9,9.7,8.9,8.8,Female,India,25-34,Family,Sydney,Australia,8.9,9.0,8.5,9.8,8.9,8.4
148,448,8,2024-09-02,8.7,7.9,8.5,9.2,9.2,8.9,8.0,Male,United Kingdom,35-44,Business,Rio de Janeiro,Brazil,9.0,8.7,8.6,9.5,8.8,8.6
149,1207,14,2021-07-12,8.9,8.8,8.4,9.2,9.9,9.2,7.5,Female,France,55+,Business,Rome,Italy,9.2,9.1,8.9,9.8,9.0,8.7
150,1878,12,2021-07-08,8.9,9.3,8.5,8.7,8.7,9.0,8.9,Female,United Kingdom,35-44,Family,Mexico City,Mexico,8.7,8.9,8.5,9.0,8.7,8.5
151,1026,6,2023-10-20,9.0,9.5,9.3,8.6,9.9,8.3,8.2,Female,Netherlands,35-44,Couple,Singapore,Singapore,9.2,9.1,9.4,9.7,9.1,8.3
152,1999,23,2025-03-12,8.8,8.6,8.4,8.8,9.1,9.0,8.4,Female,China,55+,Business,Buenos Aires,Argentina,8.9,8.8,8.7,9.0,8.8,8.7
153,1417,10,2020-05-16,9.2,10.0,8.8,9.4,8.9,9.0,8.8,Male,United States,25-34,Family,Toronto,Canada,9.4,9.3,9.2,8.8,9.2,8.8
